0,107
1,191
2,352
3,451
4,515
5,567
6,607
7,645
8,677
9,707
10,732
9,712
8,693
7,670
6,645
5,614
4,579
3,533
2,465
1,336
0,131
-1,-75
-2,-251
-3,-393
-4,-487
-5,-551
-6,-601
-7,-640
-8,-674
-9,-705
-10,-730
-9,-713
-8,-694
-7,-671
-6,-646
-5,-616
-4,-580
-3,-533
-2,-467
-1,-334
0,-130
1,71
2,248
3,390
4,482
5,546
6,595
7,634
8,667
9,696
10,722
