1,3.03
1.5,2.98
2,2.93
2.5,2.90
3,2.88
3.5,2.89
4,2.92
4.5,2.97
5,3.03
5.4,3.07
11,2.39
12,2.00
14,1.34
18,0.58
25,0.19
